keyword_text,match_type
bangkok,PHRASE
bkk,PHRASE
phuket,PHRASE
singapore,PHRASE
nyc,PHRASE
uk,PHRASE
germany,PHRASE
quebec,PHRASE
adelaide,PHRASE
vancouver,PHRASE
bilbao,PHRASE
sukhumvit,PHRASE
union mall,PHRASE
sukhothai,PHRASE
phrae,PHRASE
nan,PHRASE
phitsanulok,PHRASE
phetchaburi,PHRASE
uttaradit,PHRASE
lampang,PHRASE
sakon nakhon,PHRASE
กรุงเทพ,PHRASE
กทม,PHRASE
ภูเก็ต,PHRASE
สุขุมวิท,PHRASE
ยูเนี่ยนมอลล์,PHRASE
ยู เนี่ ย น มอลล์,PHRASE
สุโขทัย,PHRASE
แพร่,PHRASE
น่าน,PHRASE
พิษณุโลก,PHRASE
เพชรบุรี,PHRASE
อุตรดิตถ์,PHRASE
ลำปาง,PHRASE
ลําปาง,PHRASE
สกลนคร,PHRASE
